@relation movie-reviews

@attribute positive numeric
@attribute negative numeric
@attribute pleasur numeric
@attribute arousal numeric
@attribute pain numeric
@attribute virtue numeric
@attribute hostile numeric
@attribute class {POSITIVE,NEGATIVE}

@data
103,34,3,1,0,17,2,NEGATIVE
36,47,4,1,2,10,7,NEGATIVE
9,19,0,1,0,1,2,NEGATIVE
99,72,2,0,1,18,9,NEGATIVE
142,85,1,4,3,26,4,NEGATIVE
80,69,3,1,5,20,10,NEGATIVE
87,33,7,0,4,10,8,NEGATIVE
27,49,1,0,0,4,2,NEGATIVE
104,35,2,0,0,15,2,NEGATIVE
62,42,1,0,1,9,7,NEGATIVE
49,47,1,1,0,10,6,NEGATIVE
112,51,0,6,1,17,3,NEGATIVE
146,164,9,2,2,24,19,NEGATIVE
99,88,7,2,2,8,13,NEGATIVE
77,39,2,1,2,14,5,NEGATIVE
81,98,1,3,2,11,9,NEGATIVE
64,51,0,2,0,16,4,NEGATIVE
66,40,1,0,0,15,6,NEGATIVE
95,47,4,3,1,16,3,NEGATIVE
60,42,1,3,1,13,4,NEGATIVE
88,62,1,4,2,15,5,NEGATIVE
72,46,1,2,1,9,2,NEGATIVE
60,49,3,1,1,11,5,NEGATIVE
15,27,0,0,0,3,2,NEGATIVE
121,56,5,4,1,20,6,NEGATIVE
34,28,1,3,2,7,2,NEGATIVE
18,12,1,0,1,2,3,NEGATIVE
67,46,1,1,1,12,7,NEGATIVE
107,32,1,3,7,12,4,NEGATIVE
69,55,1,1,2,9,9,NEGATIVE
98,52,2,2,1,17,6,NEGATIVE
82,59,0,4,1,15,5,NEGATIVE
73,51,2,1,1,10,3,NEGATIVE
106,60,4,2,4,9,8,NEGATIVE
27,69,0,0,1,2,8,NEGATIVE
103,75,2,6,0,14,4,NEGATIVE
49,37,2,3,6,8,10,NEGATIVE
10,24,0,0,1,2,0,NEGATIVE
99,51,2,1,2,16,4,NEGATIVE
50,63,0,1,1,21,3,NEGATIVE
19,17,0,1,1,0,1,NEGATIVE
38,34,3,2,0,8,7,NEGATIVE
103,72,2,0,2,16,9,NEGATIVE
69,109,3,3,0,8,7,NEGATIVE
36,24,1,0,0,5,4,NEGATIVE
104,105,2,1,2,16,12,NEGATIVE
119,104,1,5,4,16,12,NEGATIVE
55,59,0,0,4,12,6,NEGATIVE
46,45,1,0,2,11,4,NEGATIVE
28,19,1,1,1,6,2,NEGATIVE
63,108,1,2,2,16,10,NEGATIVE
20,7,1,0,0,4,1,NEGATIVE
13,16,2,0,0,3,0,NEGATIVE
162,139,5,6,3,29,14,NEGATIVE
46,23,0,0,0,6,3,NEGATIVE
96,95,0,1,2,16,7,NEGATIVE
139,78,5,4,1,17,12,NEGATIVE
38,76,1,4,2,4,7,NEGATIVE
77,85,0,4,1,11,12,NEGATIVE
33,41,1,2,1,5,2,NEGATIVE
34,23,1,0,0,6,4,NEGATIVE
115,135,3,3,0,16,11,NEGATIVE
63,73,1,1,0,12,12,NEGATIVE
49,86,0,1,2,13,12,NEGATIVE
90,76,2,3,3,15,7,NEGATIVE
62,98,1,5,1,9,8,NEGATIVE
143,45,1,2,1,16,10,NEGATIVE
58,46,0,0,0,9,5,NEGATIVE
49,32,1,1,1,8,3,NEGATIVE
69,23,0,0,0,9,2,NEGATIVE
94,66,1,1,2,14,8,NEGATIVE
50,57,2,3,3,8,10,NEGATIVE
40,22,0,1,0,7,2,NEGATIVE
91,106,1,2,2,13,10,NEGATIVE
3,21,0,0,0,1,2,NEGATIVE
178,55,4,2,1,16,6,NEGATIVE
74,118,1,1,2,8,22,NEGATIVE
71,51,0,1,0,15,6,NEGATIVE
105,58,2,2,2,19,10,NEGATIVE
45,43,2,0,2,5,3,NEGATIVE
115,34,4,0,1,19,4,NEGATIVE
59,49,2,1,3,8,0,NEGATIVE
15,24,0,1,1,4,1,NEGATIVE
70,50,2,1,1,13,4,NEGATIVE
49,26,0,2,0,11,6,NEGATIVE
52,35,0,2,0,6,5,NEGATIVE
61,57,2,1,0,6,8,NEGATIVE
57,22,0,0,1,9,2,NEGATIVE
109,34,5,0,1,14,2,NEGATIVE
140,68,3,3,6,20,11,NEGATIVE
57,47,0,1,3,11,3,NEGATIVE
79,61,2,1,0,12,10,NEGATIVE
60,51,0,1,0,12,1,NEGATIVE
30,19,3,1,1,3,0,NEGATIVE
52,45,2,1,1,6,6,NEGATIVE
32,15,1,1,0,3,1,NEGATIVE
51,35,0,0,1,8,3,NEGATIVE
85,59,0,1,0,10,4,NEGATIVE
84,90,1,3,6,17,6,NEGATIVE
135,98,4,3,0,23,4,NEGATIVE
115,116,4,3,4,10,19,NEGATIVE
14,74,0,2,7,1,7,NEGATIVE
63,53,1,1,1,11,8,NEGATIVE
127,79,5,3,2,22,4,NEGATIVE
53,42,2,1,1,7,4,NEGATIVE
34,39,0,0,2,4,5,NEGATIVE
43,32,2,2,2,5,3,NEGATIVE
36,28,2,0,0,3,3,NEGATIVE
47,18,1,1,3,7,1,NEGATIVE
159,112,7,4,2,30,10,NEGATIVE
95,79,4,2,1,12,3,NEGATIVE
96,48,3,2,0,9,5,NEGATIVE
142,69,2,2,3,26,7,NEGATIVE
81,113,1,3,0,5,5,NEGATIVE
89,64,4,1,4,10,9,NEGATIVE
71,76,2,0,1,8,13,NEGATIVE
106,48,4,6,0,15,1,NEGATIVE
47,46,0,1,8,8,6,NEGATIVE
76,58,1,2,1,9,7,NEGATIVE
47,37,3,1,0,6,1,NEGATIVE
183,48,3,2,3,19,5,NEGATIVE
77,83,0,6,1,13,8,NEGATIVE
85,105,0,4,5,21,13,NEGATIVE
86,85,3,1,1,11,16,NEGATIVE
114,71,2,4,1,19,12,NEGATIVE
169,154,0,4,4,19,15,NEGATIVE
39,56,0,2,2,8,3,NEGATIVE
84,44,3,1,0,12,5,NEGATIVE
31,18,2,0,0,5,1,NEGATIVE
91,48,4,3,7,15,0,NEGATIVE
75,70,5,3,2,11,6,NEGATIVE
116,77,1,4,2,16,9,NEGATIVE
20,9,0,1,0,5,1,NEGATIVE
43,58,2,2,0,12,13,NEGATIVE
74,56,1,2,2,18,5,NEGATIVE
47,61,0,6,2,6,4,NEGATIVE
31,34,1,0,1,5,1,NEGATIVE
14,24,0,0,0,3,4,NEGATIVE
184,64,6,5,1,29,1,NEGATIVE
95,89,3,2,4,15,7,NEGATIVE
65,67,1,1,3,13,4,NEGATIVE
26,41,2,1,0,5,5,NEGATIVE
59,31,1,0,2,12,5,NEGATIVE
42,40,1,0,0,4,7,NEGATIVE
32,40,0,1,1,7,4,NEGATIVE
40,22,1,1,0,6,1,NEGATIVE
77,17,8,2,0,7,4,NEGATIVE
22,21,0,0,0,3,1,NEGATIVE
63,63,1,1,4,8,10,NEGATIVE
55,28,0,1,0,6,2,NEGATIVE
71,50,0,0,1,20,2,NEGATIVE
103,74,2,2,4,16,3,NEGATIVE
48,73,0,2,2,6,9,NEGATIVE
70,83,0,1,2,10,14,NEGATIVE
56,54,0,0,1,3,4,NEGATIVE
56,63,3,2,0,6,7,NEGATIVE
93,97,1,0,2,19,12,NEGATIVE
44,24,0,5,2,6,4,NEGATIVE
60,28,0,0,1,7,2,NEGATIVE
108,65,4,1,3,13,7,NEGATIVE
47,30,1,0,1,9,4,NEGATIVE
101,49,7,1,0,14,11,NEGATIVE
80,55,1,1,0,14,3,NEGATIVE
37,28,3,1,2,4,1,NEGATIVE
86,41,0,2,2,13,4,NEGATIVE
42,57,0,1,1,10,6,NEGATIVE
93,107,3,1,2,16,18,NEGATIVE
51,71,0,2,0,16,1,NEGATIVE
49,68,3,1,0,6,9,NEGATIVE
64,44,1,3,1,12,4,NEGATIVE
79,61,2,0,0,6,11,NEGATIVE
50,59,2,2,2,9,9,NEGATIVE
62,106,0,3,8,6,12,NEGATIVE
66,46,0,1,1,15,2,NEGATIVE
43,29,2,1,3,3,5,NEGATIVE
158,106,1,9,5,27,7,NEGATIVE
114,62,1,3,1,21,6,NEGATIVE
102,76,2,2,2,13,5,NEGATIVE
35,33,3,2,0,4,3,NEGATIVE
75,32,0,2,0,11,1,NEGATIVE
46,32,0,0,0,8,1,NEGATIVE
123,117,2,2,1,19,15,NEGATIVE
176,136,2,14,2,22,17,NEGATIVE
108,119,3,1,6,11,9,NEGATIVE
87,31,3,0,1,13,2,NEGATIVE
55,47,1,1,5,6,8,NEGATIVE
115,97,1,2,0,18,8,NEGATIVE
68,51,0,2,1,11,9,NEGATIVE
82,91,3,6,0,10,10,NEGATIVE
73,34,5,2,0,6,2,NEGATIVE
56,14,2,0,0,10,1,NEGATIVE
83,77,2,3,1,17,5,NEGATIVE
60,17,1,1,0,11,2,NEGATIVE
46,38,0,3,0,8,2,NEGATIVE
54,46,0,4,1,9,9,NEGATIVE
32,35,1,2,1,6,1,NEGATIVE
83,58,0,7,0,14,3,NEGATIVE
78,46,1,0,0,17,5,NEGATIVE
70,80,6,4,6,11,6,NEGATIVE
84,50,1,1,2,13,1,NEGATIVE
84,32,0,3,1,21,1,NEGATIVE
44,48,3,0,3,7,5,NEGATIVE
59,70,0,2,1,14,6,NEGATIVE
1,0,0,0,0,0,0,NEGATIVE
73,72,2,2,3,11,12,NEGATIVE
30,26,1,1,1,5,2,NEGATIVE
47,30,1,1,0,9,6,NEGATIVE
36,31,1,1,1,8,1,NEGATIVE
96,84,3,0,1,22,3,NEGATIVE
83,75,4,1,5,17,4,NEGATIVE
67,45,2,2,0,8,3,NEGATIVE
127,89,4,2,0,22,15,NEGATIVE
33,24,0,0,2,4,5,NEGATIVE
82,60,1,2,3,11,5,NEGATIVE
72,62,2,2,2,9,5,NEGATIVE
68,36,0,0,2,10,2,NEGATIVE
48,26,0,0,1,6,5,NEGATIVE
73,33,4,3,0,14,3,NEGATIVE
67,43,2,1,1,13,5,NEGATIVE
15,34,0,0,0,5,2,NEGATIVE
41,15,1,0,0,4,4,NEGATIVE
100,103,1,3,2,21,14,NEGATIVE
26,69,1,1,1,11,2,NEGATIVE
139,132,0,3,7,16,13,NEGATIVE
86,91,0,1,2,21,3,NEGATIVE
74,25,0,3,0,15,3,NEGATIVE
77,84,0,3,2,13,4,NEGATIVE
85,52,3,0,2,14,5,NEGATIVE
126,48,2,3,2,13,3,NEGATIVE
28,19,1,0,0,5,1,NEGATIVE
104,98,3,5,2,13,9,NEGATIVE
53,26,3,2,1,9,1,NEGATIVE
57,61,1,1,0,5,8,NEGATIVE
68,69,0,2,3,10,8,NEGATIVE
51,38,0,2,0,8,4,NEGATIVE
91,28,5,0,1,12,3,NEGATIVE
129,97,4,3,0,18,17,NEGATIVE
88,29,1,1,2,7,5,NEGATIVE
20,45,0,1,3,4,6,NEGATIVE
102,82,4,3,0,11,11,NEGATIVE
68,24,2,0,0,8,0,NEGATIVE
96,54,1,7,2,14,2,NEGATIVE
53,28,2,2,2,8,3,NEGATIVE
49,29,1,0,1,13,0,NEGATIVE
35,36,3,0,0,7,4,NEGATIVE
62,89,3,1,0,12,12,NEGATIVE
102,28,0,0,3,18,5,NEGATIVE
47,23,1,3,0,17,7,NEGATIVE
89,54,3,6,0,16,5,NEGATIVE
82,83,3,1,5,16,7,NEGATIVE
94,65,0,3,3,12,6,NEGATIVE
93,77,4,1,4,9,3,NEGATIVE
21,57,2,0,0,2,6,NEGATIVE
90,29,5,1,0,9,2,NEGATIVE
78,154,1,3,4,13,11,NEGATIVE
54,34,1,0,1,8,6,NEGATIVE
65,34,2,1,2,7,5,NEGATIVE
75,59,1,0,0,19,4,NEGATIVE
62,59,1,3,0,8,2,NEGATIVE
71,89,2,1,3,14,10,NEGATIVE
39,19,0,0,0,8,2,NEGATIVE
84,50,1,4,2,10,8,NEGATIVE
80,42,2,1,0,16,5,NEGATIVE
77,46,0,3,1,5,7,NEGATIVE
51,63,1,5,4,9,7,NEGATIVE
85,32,4,2,1,13,5,NEGATIVE
102,101,0,2,1,13,17,NEGATIVE
62,70,3,2,0,8,10,NEGATIVE
97,45,3,3,1,12,6,NEGATIVE
77,90,1,1,2,12,9,NEGATIVE
39,18,0,1,2,8,1,NEGATIVE
141,78,3,3,1,18,12,NEGATIVE
56,64,4,1,2,11,3,NEGATIVE
50,65,1,2,5,11,9,NEGATIVE
35,37,0,0,0,11,2,NEGATIVE
29,29,0,1,0,6,0,NEGATIVE
69,69,2,5,2,10,9,NEGATIVE
56,31,3,0,3,9,1,NEGATIVE
77,68,4,1,2,13,6,NEGATIVE
23,54,0,2,4,2,5,NEGATIVE
38,45,5,2,1,4,6,NEGATIVE
36,20,0,0,1,3,1,NEGATIVE
80,36,3,3,2,15,0,NEGATIVE
80,137,2,6,3,12,8,NEGATIVE
36,44,1,3,1,10,3,NEGATIVE
52,51,2,1,1,12,9,NEGATIVE
28,52,0,0,1,3,3,NEGATIVE
70,72,2,4,2,8,2,NEGATIVE
26,46,0,0,1,7,1,NEGATIVE
160,80,5,1,0,22,7,NEGATIVE
49,48,1,1,1,2,8,NEGATIVE
67,52,5,1,3,10,2,NEGATIVE
44,100,1,3,0,9,12,NEGATIVE
46,15,1,1,0,9,1,NEGATIVE
159,197,4,3,3,18,26,NEGATIVE
49,40,3,0,0,7,3,NEGATIVE
69,37,0,0,0,16,1,NEGATIVE
20,32,1,1,0,4,5,NEGATIVE
61,70,1,0,1,9,5,NEGATIVE
45,23,1,1,0,7,3,NEGATIVE
35,40,0,0,0,6,0,NEGATIVE
32,33,1,0,0,10,2,NEGATIVE
70,22,2,1,3,7,2,NEGATIVE
54,23,3,1,0,9,1,NEGATIVE
53,46,1,2,2,11,2,NEGATIVE
48,57,0,0,3,4,4,NEGATIVE
99,102,1,3,0,18,16,NEGATIVE
118,75,5,2,2,9,9,NEGATIVE
51,27,2,1,1,10,5,NEGATIVE
34,36,0,1,0,6,5,NEGATIVE
34,46,1,2,0,10,5,NEGATIVE
121,95,6,4,3,14,4,NEGATIVE
41,60,2,1,1,6,11,NEGATIVE
6,36,0,0,2,0,1,NEGATIVE
57,52,3,1,0,14,8,NEGATIVE
64,55,1,3,2,15,2,NEGATIVE
78,92,0,6,3,17,12,NEGATIVE
86,74,3,1,1,20,8,NEGATIVE
67,123,5,1,12,8,12,NEGATIVE
123,67,2,4,2,17,2,NEGATIVE
186,178,2,3,1,31,18,NEGATIVE
76,27,3,1,1,15,1,NEGATIVE
59,41,2,0,2,9,4,NEGATIVE
115,43,1,8,2,13,5,NEGATIVE
34,24,1,0,2,3,3,NEGATIVE
90,61,3,4,1,12,3,NEGATIVE
41,60,1,1,0,6,7,NEGATIVE
89,89,0,0,1,14,10,NEGATIVE
44,38,0,2,2,5,1,NEGATIVE
44,46,2,0,4,7,4,NEGATIVE
51,32,2,1,0,6,2,NEGATIVE
107,41,2,8,1,19,1,NEGATIVE
82,108,3,3,2,11,18,NEGATIVE
69,32,0,4,0,17,1,NEGATIVE
87,85,0,3,0,10,13,NEGATIVE
56,46,2,1,2,5,3,NEGATIVE
112,60,2,2,3,15,6,NEGATIVE
40,29,1,0,0,6,7,NEGATIVE
94,74,0,6,1,9,8,NEGATIVE
50,40,1,2,0,10,4,NEGATIVE
118,39,4,2,1,15,4,NEGATIVE
24,31,4,2,1,2,6,NEGATIVE
131,46,2,2,0,23,3,NEGATIVE
84,83,2,8,5,9,1,NEGATIVE
68,55,2,1,3,12,3,NEGATIVE
51,63,0,4,0,8,7,NEGATIVE
51,69,0,0,3,7,8,NEGATIVE
39,18,3,2,0,5,2,NEGATIVE
57,28,1,1,3,12,4,NEGATIVE
78,38,2,1,2,12,3,NEGATIVE
85,66,3,1,2,19,12,NEGATIVE
108,88,3,1,0,16,17,NEGATIVE
86,62,3,1,1,11,3,NEGATIVE
159,112,7,4,2,30,10,NEGATIVE
33,66,2,0,1,6,8,NEGATIVE
76,33,3,0,0,10,1,NEGATIVE
113,53,9,4,3,16,3,NEGATIVE
46,30,2,5,0,12,2,NEGATIVE
52,45,2,1,0,11,2,NEGATIVE
55,39,2,1,1,12,5,NEGATIVE
56,59,3,1,2,8,11,NEGATIVE
44,19,2,0,0,7,2,NEGATIVE
34,38,2,2,0,7,0,NEGATIVE
64,69,1,2,2,11,9,NEGATIVE
48,25,0,4,3,4,1,NEGATIVE
61,44,1,1,2,12,5,NEGATIVE
142,58,6,2,1,21,5,NEGATIVE
44,23,0,0,0,9,1,NEGATIVE
25,10,2,1,1,1,2,NEGATIVE
77,43,0,0,0,15,1,NEGATIVE
74,58,1,0,1,12,7,NEGATIVE
34,14,2,1,1,8,0,NEGATIVE
74,43,1,5,0,12,5,NEGATIVE
137,75,1,3,2,22,10,NEGATIVE
76,53,1,3,2,12,7,NEGATIVE
26,16,2,1,1,4,1,NEGATIVE
38,44,0,0,0,7,2,NEGATIVE
137,84,1,1,3,15,7,NEGATIVE
64,91,0,1,3,10,8,NEGATIVE
75,50,1,3,1,11,3,NEGATIVE
95,49,0,5,5,10,4,NEGATIVE
115,112,4,3,0,18,18,NEGATIVE
72,32,2,0,1,11,4,NEGATIVE
83,59,3,1,2,19,5,NEGATIVE
90,57,4,0,7,17,6,NEGATIVE
47,35,2,0,0,5,4,NEGATIVE
39,72,0,1,0,9,13,NEGATIVE
62,76,0,0,0,14,8,NEGATIVE
90,69,3,0,1,12,5,NEGATIVE
44,33,0,2,1,7,2,NEGATIVE
60,46,7,3,2,5,3,NEGATIVE
15,24,0,3,0,5,1,NEGATIVE
54,64,2,2,5,10,5,NEGATIVE
114,120,5,6,8,15,16,NEGATIVE
90,27,5,1,1,21,4,NEGATIVE
71,65,3,4,1,5,8,NEGATIVE
58,60,0,2,1,10,5,NEGATIVE
62,22,1,6,2,8,2,NEGATIVE
96,59,2,2,0,16,7,NEGATIVE
39,39,0,0,0,4,2,NEGATIVE
64,33,2,0,0,10,1,NEGATIVE
65,46,1,0,0,11,7,NEGATIVE
60,85,3,1,2,6,6,NEGATIVE
42,79,1,1,0,12,2,NEGATIVE
24,55,0,0,1,6,2,NEGATIVE
28,68,2,0,3,4,10,NEGATIVE
160,52,3,2,0,22,5,NEGATIVE
54,19,0,1,2,8,1,NEGATIVE
150,83,2,4,3,21,11,NEGATIVE
69,45,2,2,1,12,5,NEGATIVE
139,70,8,5,1,21,12,NEGATIVE
72,94,1,3,3,17,13,NEGATIVE
97,54,5,2,2,8,4,NEGATIVE
55,44,1,2,0,9,3,NEGATIVE
56,32,1,1,1,15,1,NEGATIVE
113,82,4,0,2,17,10,NEGATIVE
105,78,1,0,1,13,12,NEGATIVE
26,43,2,1,1,3,2,NEGATIVE
77,51,1,0,0,11,8,NEGATIVE
65,43,1,1,0,6,4,NEGATIVE
94,74,1,0,1,20,6,NEGATIVE
43,44,0,1,2,13,3,NEGATIVE
89,62,2,1,0,7,7,NEGATIVE
45,42,0,2,0,10,3,NEGATIVE
47,18,0,1,0,7,2,NEGATIVE
66,39,1,1,1,4,4,NEGATIVE
76,58,4,2,0,15,3,NEGATIVE
113,53,5,2,1,16,3,NEGATIVE
53,25,1,1,0,6,0,NEGATIVE
174,168,2,2,8,30,12,NEGATIVE
54,72,0,0,1,10,2,NEGATIVE
70,46,1,2,2,14,6,NEGATIVE
92,25,0,2,1,20,3,NEGATIVE
110,122,2,3,1,11,20,NEGATIVE
62,34,2,1,1,5,5,NEGATIVE
52,69,0,2,0,10,3,NEGATIVE
32,61,0,1,5,7,6,NEGATIVE
57,33,2,2,3,4,3,NEGATIVE
81,49,5,2,3,6,6,NEGATIVE
84,52,3,1,0,17,3,NEGATIVE
24,40,1,1,1,5,2,NEGATIVE
52,93,1,0,0,5,11,NEGATIVE
97,57,5,6,1,16,4,NEGATIVE
198,136,0,5,4,29,15,NEGATIVE
62,50,0,2,0,15,3,NEGATIVE
98,15,1,0,2,19,0,NEGATIVE
61,77,0,4,1,10,7,NEGATIVE
46,32,0,1,1,8,1,NEGATIVE
44,98,1,0,1,8,6,NEGATIVE
24,55,1,0,1,2,5,NEGATIVE
87,53,1,0,0,16,3,NEGATIVE
53,46,1,1,3,10,0,NEGATIVE
104,78,1,2,1,11,10,NEGATIVE
62,118,1,0,1,10,14,NEGATIVE
46,64,0,0,0,7,8,NEGATIVE
90,96,0,8,2,11,14,NEGATIVE
52,38,0,2,1,6,5,NEGATIVE
117,50,4,4,0,19,5,NEGATIVE
101,182,0,2,2,11,30,NEGATIVE
83,66,3,3,0,19,3,NEGATIVE
64,48,2,2,3,8,5,NEGATIVE
65,18,2,0,0,7,1,NEGATIVE
105,51,4,1,0,15,2,NEGATIVE
83,129,3,2,1,10,9,NEGATIVE
72,49,2,1,0,10,6,NEGATIVE
66,93,1,3,2,8,8,NEGATIVE
51,49,1,2,2,7,4,NEGATIVE
83,104,1,3,2,10,12,NEGATIVE
84,66,0,2,1,9,6,NEGATIVE
87,77,4,1,0,10,11,NEGATIVE
75,47,1,1,1,9,7,NEGATIVE
62,66,4,3,7,12,5,NEGATIVE
89,52,0,2,2,12,7,NEGATIVE
71,62,2,0,0,13,10,NEGATIVE
80,120,4,1,2,13,9,NEGATIVE
86,59,5,3,2,18,3,NEGATIVE
15,14,0,0,0,1,0,NEGATIVE
32,66,0,1,0,7,8,NEGATIVE
86,105,2,2,2,14,13,NEGATIVE
17,65,1,0,1,6,16,NEGATIVE
34,47,0,1,3,5,2,NEGATIVE
113,40,4,2,0,15,2,NEGATIVE
73,52,4,1,1,8,3,NEGATIVE
55,18,1,1,0,12,2,NEGATIVE
164,162,1,8,4,24,13,NEGATIVE
105,71,0,2,2,16,12,NEGATIVE
78,31,3,0,3,18,3,NEGATIVE
39,71,1,1,2,9,8,NEGATIVE
72,67,4,3,2,8,17,NEGATIVE
65,43,1,1,0,8,5,NEGATIVE
25,36,0,1,0,8,3,NEGATIVE
38,22,1,2,1,2,1,NEGATIVE
82,20,5,0,0,13,1,NEGATIVE
88,35,2,2,0,15,4,NEGATIVE
93,23,3,2,5,5,1,NEGATIVE
87,64,5,1,1,8,8,NEGATIVE
117,105,0,2,23,16,14,NEGATIVE
35,60,0,3,6,6,7,NEGATIVE
27,19,1,3,3,3,2,NEGATIVE
29,53,1,0,3,4,3,NEGATIVE
85,48,4,1,2,19,4,NEGATIVE
33,44,1,0,1,8,6,NEGATIVE
44,64,1,1,4,6,12,NEGATIVE
67,25,5,1,0,7,3,NEGATIVE
165,170,5,5,6,28,19,NEGATIVE
42,44,1,2,0,14,4,NEGATIVE
23,29,1,1,0,1,2,NEGATIVE
43,51,0,1,3,8,7,NEGATIVE
89,48,0,0,8,26,10,NEGATIVE
36,61,1,1,2,5,3,NEGATIVE
107,78,1,1,1,15,8,NEGATIVE
17,25,1,3,1,0,9,NEGATIVE
98,65,1,3,3,21,5,NEGATIVE
69,60,1,1,4,13,7,NEGATIVE
8,29,0,0,0,2,1,NEGATIVE
121,55,8,1,2,21,5,NEGATIVE
50,75,2,1,0,4,12,NEGATIVE
118,72,1,3,1,21,8,NEGATIVE
74,65,3,0,2,4,8,NEGATIVE
73,54,4,2,4,13,6,NEGATIVE
66,16,0,1,0,10,3,NEGATIVE
36,53,1,1,1,6,2,NEGATIVE
50,25,1,0,1,7,5,NEGATIVE
103,71,5,1,3,16,9,NEGATIVE
39,22,1,3,2,4,2,NEGATIVE
26,10,0,2,0,5,0,NEGATIVE
57,68,1,5,3,7,7,NEGATIVE
23,35,1,2,0,3,3,NEGATIVE
92,50,1,1,1,11,5,NEGATIVE
93,101,3,7,0,12,8,NEGATIVE
40,114,2,0,3,6,6,NEGATIVE
92,45,1,2,0,14,3,NEGATIVE
88,60,1,11,0,17,6,NEGATIVE
65,62,1,1,0,9,8,NEGATIVE
52,63,0,2,4,12,5,NEGATIVE
131,90,1,2,2,13,7,NEGATIVE
59,62,3,2,2,10,3,NEGATIVE
39,37,1,1,3,4,4,NEGATIVE
97,81,4,5,3,13,8,NEGATIVE
122,67,1,3,3,16,6,NEGATIVE
44,23,0,1,3,5,1,NEGATIVE
53,68,1,0,4,14,10,NEGATIVE
64,46,1,2,1,12,4,NEGATIVE
130,78,13,2,0,23,4,NEGATIVE
149,52,3,3,6,20,5,NEGATIVE
72,79,0,3,2,13,11,NEGATIVE
90,77,1,0,2,18,5,NEGATIVE
81,79,0,3,2,8,11,NEGATIVE
83,66,3,4,4,6,5,NEGATIVE
74,57,1,1,2,7,3,NEGATIVE
54,42,3,0,2,9,4,NEGATIVE
22,20,0,1,0,5,4,NEGATIVE
36,17,0,1,0,7,5,NEGATIVE
45,62,7,3,1,2,6,NEGATIVE
20,8,0,0,0,4,1,NEGATIVE
96,80,3,5,8,13,11,NEGATIVE
41,76,0,1,0,13,14,NEGATIVE
39,82,1,0,3,6,5,NEGATIVE
44,9,5,1,0,7,2,NEGATIVE
104,24,1,2,1,13,1,NEGATIVE
53,52,3,0,0,7,2,NEGATIVE
81,72,1,3,1,9,10,NEGATIVE
73,31,2,0,3,10,5,NEGATIVE
50,50,0,0,2,10,8,NEGATIVE
76,81,0,3,3,11,12,NEGATIVE
37,38,6,0,0,3,4,NEGATIVE
98,74,6,6,0,15,8,NEGATIVE
37,41,1,0,1,4,7,NEGATIVE
128,172,3,8,3,18,23,NEGATIVE
112,94,2,1,2,15,13,NEGATIVE
74,47,1,1,6,11,8,NEGATIVE
81,94,0,0,2,13,8,NEGATIVE
17,12,1,1,0,4,0,NEGATIVE
95,79,8,0,0,10,8,NEGATIVE
66,46,2,1,2,13,3,NEGATIVE
70,51,1,6,0,11,7,NEGATIVE
24,58,0,1,6,5,9,NEGATIVE
79,27,4,1,1,9,0,NEGATIVE
16,33,0,0,0,3,4,NEGATIVE
108,64,2,2,0,14,8,NEGATIVE
72,65,3,2,2,12,7,NEGATIVE
43,47,1,0,0,9,3,NEGATIVE
68,26,0,1,0,11,3,NEGATIVE
81,72,1,0,1,11,2,NEGATIVE
16,15,0,0,0,2,0,NEGATIVE
100,30,3,2,2,15,4,NEGATIVE
84,52,2,3,1,18,6,NEGATIVE
74,42,0,4,1,14,4,NEGATIVE
82,42,2,4,0,9,8,NEGATIVE
117,54,8,2,3,15,5,NEGATIVE
75,171,1,5,9,7,34,NEGATIVE
57,46,3,0,1,6,6,NEGATIVE
32,34,2,0,1,7,6,NEGATIVE
92,42,1,2,3,12,4,NEGATIVE
25,38,1,2,0,5,1,NEGATIVE
51,81,2,2,1,5,8,NEGATIVE
31,41,0,1,1,6,5,NEGATIVE
47,73,4,1,3,4,11,NEGATIVE
27,21,0,2,1,2,3,NEGATIVE
61,67,0,1,1,13,5,NEGATIVE
32,18,1,1,2,6,0,NEGATIVE
29,16,0,0,0,4,2,NEGATIVE
101,36,1,1,2,12,6,NEGATIVE
169,112,2,1,1,26,11,NEGATIVE
77,40,7,2,0,10,5,NEGATIVE
116,47,7,2,3,15,4,NEGATIVE
23,25,0,0,1,4,4,NEGATIVE
49,57,2,2,1,17,6,NEGATIVE
77,129,2,1,0,26,5,NEGATIVE
68,70,7,3,1,8,5,NEGATIVE
55,38,3,1,1,10,4,NEGATIVE
42,58,1,1,0,8,4,NEGATIVE
63,71,1,1,0,10,10,NEGATIVE
50,55,3,1,2,10,1,NEGATIVE
74,64,1,2,0,10,8,NEGATIVE
60,48,0,6,0,8,9,NEGATIVE
65,69,0,0,1,14,8,NEGATIVE
37,42,0,1,0,7,5,NEGATIVE
107,98,4,0,1,10,9,NEGATIVE
42,12,0,1,0,10,4,NEGATIVE
101,51,2,4,0,15,2,NEGATIVE
68,38,1,2,0,11,3,NEGATIVE
17,17,0,2,1,4,1,NEGATIVE
163,107,0,6,5,25,12,NEGATIVE
90,67,3,2,4,16,5,NEGATIVE
82,103,2,6,1,12,16,NEGATIVE
43,17,0,0,0,6,1,NEGATIVE
31,72,0,0,2,3,6,NEGATIVE
29,25,0,2,3,5,8,NEGATIVE
35,38,4,2,1,5,2,NEGATIVE
165,139,7,3,0,26,25,NEGATIVE
